0,aims
4G,NUOI_TOM
4H,NUOI_BE
4I,vp-dai-dien
4J,tau-kiemtra-attp
4K,tau-dangky-xoa
4L,tinh-hinh-nuoi-trong
4M,an-toan-thuc-pham
4N,tau-ca
4O,thay-doi-nghe-chinh
4P,vi-pham-hanh-chinh
4Q,giay-phep-khai-thac
4R,dm-dong-so-huu
4S,the-chap-tau-ca
4T,sang-ten-trong-tinh
4U,dang-ky
4V,giong-thuy-san
4W,tau
4X,trang-thiet-bi
4Y,loai-may-tau
4Z,hinh-thuc-san-xuat
50,chi-tieu-bao-cao
51,nhom-thuy-san
52,loai-nuoc
53,phuong-thuc-nuoi-trong
54,loai-hinh-nuoi-trong
55,cach-thuc-nuoi-trong
56,kiem-dich
57,cong-tac-kiem-soat-giet-mo
58,cong-tac-kiem-dich-xuat-tinh
59,co-so-chuan-doan
5A,co-so-so-che
5B,co-so-giet-mo
5C,co-so-kho-lanh
5D,co-so-ap-trung
5E,danh-sach-co-so-ho-tro
5F,tiem-phong
5G,theo-doi-tiem-phong
5H,co-so-an-toan-dich-benh
5I,giam-sat
5J,dong-vat-tren-can
5K,dich-benh
5L,gia-cam
5M,gia-suc
5N,co-so-nuoi-yen
5O,ca-nhan-lam-dich-vu
5P,co-so-con-giong
5Q,de-giong
5R,bo-giong
5S,heo-giong
5T,tinh-giong
5U,ap-trung
5V,sxkd
5W,co-so-kinh-doanh-thuoc-thu-y
5X,ca-nhan-duoc-cap-chung-chi
5Y,so-luong-vat-nuoi-tren-dia-ban-tinh
5Z,ds-chi-tiet-vat-nuoi
60,thuc-an
61,nguyen-lieu
62,thuong-mai
63,LOAI_HINH_CAP_GIAY_CHUNG_NHAN
64,LOAI_HINH_SAN_XUAT_KINH_DOANH
65,LOAI_SAN_PHAM_DONG_VAT
66,LINH_VUC_KINH_DOANH
67,LINH_VUC_HANH_NGHE_THU_Y
68,loai-mau
69,PHUONG_PHAP_XET_NGHIEM
6A,CO_QUAN_CAP_GIAY_CHUNG_NHAN
6B,PHUONG_THUC_NUOI
6C,CAP_QUAN_LY
6D,LOAI_GIAM_SAT
6E,HINH_THUC_HOAT_DONG_CO_SO
6F,LOAI_TRUNG
6G,MUC_DICH_SU_DUNG
6H,MUC_DICH_AP
6I,TRANG_THAI_HOAT_DONG_CO_SO
6J,KET_QUA_XET_NGHIEM_VIRUT
6K,giong-vat-nuoi
6L,NHOM_VAT_NUOI
6M,ho-nuoi
6N,HUONG_SAN_XUAT
6O,PHONG_BENH
6P,LOAI_BENH_CONG_NHAN
6Q,LOAI_QUY_MO
6R,LOAI_MAU
6S,LOAI_CHAT_THAI
6T,LOAI_THUC_AN
6U,CN_HINH_THUC
6V,GIONG_VAT_NUOI
6W,vat-nuoi
6X,CN_MOITRUONG_SONG
6Y,CN_PHANLOAI_VATNUOI
6Z,CN_LOAIHINH_CS
70,menu
71,manageUser
72,svcDirectory
73,manageMonetaryUnit
74,userSync
75,category
76,role
77,permission
78,gia-ban-cay-trong
79,forward
7A,dm-cong-trinh
7B,tai-tao
7C,khu-vuc-cam
7D,syn
7E,search
7F,hierarchy
7G,grant-permission
7H,group-role
7I,modify
7J,sync-application
7K,sync-user
7L,thsx
7M,amis
7N,GIAI_DOAN_SINH_TRUONG_GIONG_THUY_SAN
7O,cong-tac-tuyen-truyen
7P,kiem-tra
7Q,kiem-tra-hoat-dong-ktts-bvnlts
7R,mau-bao-cao
7S,tinh-hinh-san-xuat-giong
7T,ksgm
7U,kiem-tra-vsty
7V,kddv
7W,bao-cao-dich-benh-dinh-ky
7X,bao-cao-dich-benh-dot-xuat
7Y,mau-20a
7Z,co-so-giong
80,nha-yen
81,tinh-hinh-kdcg-cntagsgc
82,tieu-chuan
83,thi-truong
84,nhom-cay-khac
85,tong
86,agrimap
87,tong-quan
88,sap-nhap-hop-tac-xa
89,hop-nhat-hop-tac-xa
8A,to-hop-tac
8B,lien-hiep-htx
8C,lien-ket-tieu-thu
8D,sinh-vat-gay-hai
8E,lien-hiep-hop-tac-xa
8F,ke-hoach-trong-cay-phan-tan
8G,khai-thac-rung-san-xuat
8H,khai-thac-rung-phong-ho
8I,khai-thac-rung-tu-duong
8J,ma-so-dong-goi
8K,quan-ly-dat-trong
8L,do-phi-nhieu-dat
8M,chuyen-doi-co-cau-dat
8N,tieu-chuan-quy-chuan
8O,lien-ket-san-xuat
8P,goi-y-sau-benh
8Q,bctt
8R,dien-tich-nhiem
8S,tien-do-san-xuat
8T,san-xuat-lua
8U,san-xuat-sau-benh
8V,cap-1
8W,LOAI_HINH_TO_CHUC_SX
8X,iscs.svc.auth.user:all
8Y,thsb
8Z,tinh-hinh-cay-trong-bi-thien-tai
90,quan-ly-nuoc-sach
91,view
92,ql-nuoc-sinh-hoat
93,noi-dung-tieu-chi
94,xet-duyet
95,ntm
96,loai-dat-chuan
97,tao-moi
98,mttq-xa
99,ubnd-xa
9A,ubnd-huyen
9B,tham-tra
9C,mttq-huyen
9D,ubnd-tinh
9E,tham-dinh
9F,so-nn
9G,cong-nhan
9H,ket-luan
9I,vrain
9J,updatePassword
9K,trong-rung
9L,sua
9M,map
9N,dashboard-thiet-hai
9O,dashboard-nuoc-sach
9P,dashboard-vi-pham
9Q,dashboard-tra-lua
9R,dashboard-giong-lua
9S,dashboard-ma-vung-trong
9T,dashboard123
9U,dashboard-diem-nuoi
9V,dashboard-dich-te
9W,map-hop-tac-xa
9X,nuoc-sach
9Y,igate
9Z,chung-chi-hanh-nghe
A0,config-dynamic
A1,tinh-hinh-hoat-dong-to-hop-tac
A2,ocop
A3,co-gioi-hoa
A4,dao-tao-nghe
A5,lk-tieu-thu
A6,tinh-hinh-dan-di-cu
A7,du-an-on-dinh-dan-cu
A8,xa-dat-chuan-ntm
A9,ban-do-ntm
AA,bao-cao-trang-trai
AB,dno-phat-trien-rung
AC,kiem-tra-cong-tac-pccc
AD,phuong-an-quan-ly-rung-ben-vung
AE,quan-ly-giong
AF,dien-tich-luu-vuc
AG,dm-dien-tich-luu-vuc
AH,dm-don-vi-su-dung
AI,ql-thue-moi-truong-rung
AJ,ban-do-f
AK,licence
AL,resync
AM,cho-duyet
AN,da-tham-dinh
AO,da-huy
AP,chung-nhan-co-so-kinh-doanh-thuoc
AQ,co-so-du-dieu-kien-vsty
AR,ho-tro-tieu-huy
AS,thanh-tra-kiem-tra
AT,grafana
AU,quan-ly-theo-doi-tiem-phong-v2
AV,ho-tro-trang-trai
AW,ho-tro
AX,template
AY,vu-chay
AZ,ty-le-che-phu-rung
B0,moi-truong-rung
B1,hien-trang-rung-theo-chu-quan-ly
B2,bao-cao-khai-thac-go
B3,bao-cao-tong-hop
B4,bao-ve-rung
B5,phat-trien-rung
B6,ket-qua-hoat-dong-export
B7,giao-cay
B8,khai-thac-rung
B9,credentical
BA,ma-vung-trong-noi-dia
BB,config
BC,configuration
BD,salesman
BE,sale
BF,deployment
BG,sm
BH,webSM:myConfigurationOnly
BI,directory
BJ,religion
BK,ethnic
BL,nation
BM,agency
BN,cong-dan
BO,**
BP,bo-tieu-chi
BQ,tieu-chi-thong-minh
BR,file-dinh-kem
BS,hop-tac-xa-export
BT,luu-vet
BU,avatar
BV,lien-hiep
BW,ty-le
BX,ty-le-htx
BY,chi-tiet
BZ,ke-hoach-xay-dung-ntm
C0,ho-gia-dinh
C1,get-ho
C2,get-ho-by-cmnd
C3,lay-y-kien-ho
C4,save-all
C5,by-ho-va-dot-khao-sat
C6,in-phieu
C7,ty-le-lktt
C8,du-an-ke-hoach-lien-ket-export
C9,lien-ket-tieu-thu-export
CA,thanh-vien
CB,export
CC,cay-hang-nam
CD,cay-lau-nam
CE,cung-cap-thuc-an
CF,ve-sinh-chuong-trai
CG,che-bien-thuc-an
CH,giet-mo-tap-trung
CI,du-an-giam-ngheo-export
CJ,hd-giam-sat-danh-gia
CK,hoat-dong-ho-tro
CL,ket-qua-huy-dong
CM,ket-qua
CN,doituong
CO,nganh-nghe-nong-thon
CP,ql-giam-sat-chuong-trinh
CQ,thong-tin-ocop-export
CR,tinh-hinh-hd-export
CS,trang-trai-export
CT,view-bao-cao-trang-trai
CU,ty-le-dtsx
CV,co-so-san-xuat-kinh-doanh-giong
CW,huong-dan-ky-thuat
CX,nhap-giong
CY,ban-giong
CZ,ton-kho
D0,gia
D1,giam-sat-ma-co-so-dong-goi
D2,tram-giong
D3,cau-hinh-giai-doan-sinh-truong
D4,get-cay
D5,tieu-vung
D6,cao-nhat
D7,dat-trong
D8,tich-tu-dat-trong
D9,hien-trang-su-dung-dat
DA,boc-tach-tang-dat-mat
DB,su-dung
DC,quang-cao
DD,dien-tich-ke-hoach
DE,cau-hinh-giai-doan-sinh-truong-giong
DF,export-excel
DG,chuyen-duyetm
DH,cuu-ho-dvhd
DI,"info"""
DJ,co-so-nuoi-dvhd
DK,import
DL,loai-danh-muc
DM,DONG_VAT_HOANG_DA
DN,nghi-dinh
DO,kl
DP,PHAN_CAP_RUNG
DQ,dang-duoc-nuoi
DR,import-from-xlsx
DS,export-template
DT,dieu-khoan
DU,cn
DV,danh-muc-nghi-dinh
DW,cl
DX,ttg
DY,ptnt
DZ,xu-phat-khac-phuc
E0,report
E1,hien-trang-rung-va-dat
E2,khai-thac-lam-san-ngoai-go
E3,cong-tac-quan-ly-pccc-rung
E4,do-che-phu
E5,ql-trong-rung
E6,chua-tao-xac-nhan
E7,in-bien-nhan
E8,getSTT
E9,chua-kiem-tra
EA,detail
EB,get-chua-cap-bien-nhan
EC,xac-nhan-khoi-luong
ED,in-xac-nhan
EE,in-thong-bao
EF,xe-ra-vao-cang
EG,in-phieu-thu
EH,loai-thuy-san-nguy-cap-quy-hiem
EI,lop-thuy-san
EJ,muc-phi
EK,khu-vuc-quan-trac
EL,quy-chuan-ky-thuat
EM,tieu-chi-quan-trac
EN,KET_LUAN_KIEM_TRA_CAP_CANG
EO,HANG_THUY_SAN
EP,CANG_CA_TRANG_THIETBI_TAU
EQ,CANG_CA_LOAI_HOP_DONG_THUE
ER,CANG_CA_VI_TRI_O_THUE
ES,CANG_CA_HANG_HOA_THU_PHI
ET,HINH_THUC_DANG_KIEM_TAU
EU,TINHTRANG_TAU
EV,CAP_TAU
EW,NGUONGOC_TAU
EX,TUYEN_KHAITHAC
EY,CAM_CO_TAU
EZ,LOAI_TRANG_THIET_BI
F0,CONG_DUNG_MAY_PHU
F1,KIEU_CHAN_VIT
F2,VAT_LIEU_CHAN_VIT
F3,HINH_THUC_KIEM_TRA
F4,VAT_LIEU_VO_TAU
F5,LOAI_TAU
F6,VUNG_HOAT_DONG_TAU
F7,KIEU_TOI
F8,NUOC_SX
F9,LOAI_HINH_DANH_BAT_NGHE_CA
FA,dang-kiem
FB,updState
FC,nhom-tau
FD,chung
FE,TIEU_CHUAN_SAN_XUAT
FF,SAN_PHAM_SAN_XUAT
FG,SAN_PHAM_KINH_DOANH
FH,tieu-chi-thong-ke
FI,ca-tra-bo-me
FJ,giam-sat-quan-trac
FK,khai-bao-so-lieu
FL,NUOI_THUY_SAN_KHAC
FM,tai-tao-nguon-loi-thuy-san
FN,tom-cang-xanh-toan-duc
FO,test
FP,ho-so-dang-ky
FQ,info-nghe
FR,khu-vuc-rung
FS,ho-tro-thien-tai
FT,kho-vat-tu-chong-lut-bao
FU,dt-tuoi-tien-tien
FV,hieu-qua-tcn
FW,cong-trinh-cap-nuoc
FX,hieu-qua-tcn-export
FY,ho-tro-thiet-hai-nsh
FZ,kq-phan-tich-chat-luong-nuoc
G0,tinh-hinh-han-han
G1,tram-khong-dat-qcvn
G2,ty-le-cap-nuoc
G3,cong-trinh-de-boi
G4,cong-trinh
G5,cong-trinh-ho-chua
G6,cong-trinh-khac
G7,dem-canh-de
G8,tinh-hinh-nguon-nuoc-ho-chua
G9,bao-cao-dien-bien-xam-nhap-man
GA,cap-phep-hoat-dong-lien-quan-den-de-dieu
GB,getall
GC,noidung
GD,cong-trinh-cap-nuoc-export
GE,cong-trinh-cong-export
GF,cong-trinh-tram-bom-export
GG,cong-trinh-tuyen-de-export
GH,tru-so-hat-qld
GI,ql-rung
GJ,hien-trang-rung
GK,ql-cap-phep-trong-pham-vi-bao-ve-cttl
GL,ql-nuoc
GM,mua-lu
GN,cong-trinh-kenh
GO,ql-phan-cong
GP,ql-sat-lo
GQ,ql-thien-tai
GR,ql-vi-pham-de-dieu
GS,ql-vi-pham
GT,su-co-de-dieu
GU,tram-do-nuoc
GV,vi-pham-rung
GW,xam-thuc-rung
GX,tinh-hinh-chan-nuoi-gia-cam
GY,tinh-hinh-chan-nuoi-gia-suc
GZ,export-ap-trung
H0,export-kiem-dich
H1,export-giet-mo
H2,theo-doi-kiem-dich
H3,co-so-xuat-nhap
H4,export-theo-doi
H5,theo-doi-benh-dai
H6,an-toan-dich-benh
H7,export-chung-nhan
H8,kq-kiem-tra-xep-loai-cs
H9,san-pham-tt-cn-ts
HA,tuyen-truyen-quang-ba
HB,ky-cam-ket
HC,thong-ke-sp-cnhq
HD,thong-ke-sp-tcbcl
HE,quan-ly-gia
HF,quan-ly-ton-kho
HG,quan-ly-nhap-giong
HH,cau-hinh-danh-muc
HI,nhom-giong-cay-trong
HJ,cms-bai-viet
HK,cms-chuyen-de
HL,khuyen-nong-cong-dong
HM,thiet-lap-va-giam-sat-vung-trong
HN,tu-van-va-dich-vu
HO,de-tai-du-an
HP,thamgia
HQ,banner
HR,anh
HS,dm-loai-san-pham
HT,dynamic-configuration
HU,san-pham
HV,danh-gia
HW,chi-tiet-ban
HX,xuat-ban
HY,update-qr
HZ,loai-thuy-san
I0,danh-muc-dung-chung
I1,LINH_VUC
I2,DON_VI_CA_NHAN_CHAP_THUAN
I3,TANG_GIAM
I4,interface-dynamic
I5,du-bao-thoi-tiet
I6,dashboardHGI
I7,dashboard-sinh-vat-gay-hai
I8,bao-cao-chinh-thuc
I9,bao-cao-co-cau-lua
IA,bc-rau-an-toan
IB,bc-tinh-hinh-sau-benh
IC,bc-lien-ket-sx
ID,bc-cay-dau-dong
IE,bc-tinh-hinh-san-xuat
IF,bc-co-so
IG,kinh-doanh
IH,vat-tu-nn
II,san-xuat
IJ,giay-phep-het-han
IK,kiem-dich-xuat-nhap-khau
IL,thu-gom-vo-thuoc-bvtv
IM,tram-giam-sat-con-trung
IN,ho-so-dang-ky-map-moi-ma-so-vung-trong
IO,sync-data-to-vsr
IP,theo-doi-benh-gia-suc
IQ,theo-doi-benh-thuy-san
IR,tinh-hinh-dich-benh
IS,vung-an-toan-dich-benh
IT,tinh-hinh-chan-nuoi-gia-cam-ap-xa
IU,ke-khai-nha-yen
IV,mua
IW,lu
IX,do-man
IY,cong-trinh-cong
IZ,tram-do-mua-tu-dong
J0,cong-trinh-tram-bom
J1,cong-trinh-tuyen-de
J2,cong-trinh-ke
J3,cong-trinh-bong
J4,HC
J5,DD
J6,diem-canh-de
J7,dt-dam-bao-phuc-vu-tuoi
J8,ho-tro-thiet-hai
J9,cong-tac-phong-chong-thien-tai
JA,bao-cao-cong-trinh
JB,CONG_TRINH_KENH
JC,CONG_TRINH_CONG
JD,CONG_TRINH_TRAM_BOM
JE,CONG_TRINH_TUYEN_DE
JF,bao-cao-thiet-hai
JG,DONG_LOC
JH,SAT_LO
JI,reservoir
JJ,dam
JK,ban-do-cong-trinh
JL,dashboard-quan-ly-rung
JM,san-luong-go-lam-san
JN,dien-bien-dien-tich-rung-va-chua-thanh-rung
JO,khai-thac-go-va-lam-san
JP,dien-tich-rung-theo-muc-dich-su-dung
JQ,giao-khoan-rung
JR,thong-ke-trang-thai-xu-ly
JS,bc-cay-phan-tan
JT,bc-xu-ly-vi-pham
JU,bc-co-so-che-bien-go
JV,bc-co-so-nuoi-dvhd
JW,bc-theo-doi-dien-bien-rung
JX,bc-quan-ly-rung
JY,nang-cao
JZ,kieu-mau
K0,huyen-ntm
K1,huyen-nang-cao
K2,ntm-nang-cao
K3,ntm-kieu-mau
K4,huyen-ntm-nc
K5,hien-trang
K6,CAP_XA
K7,CAP_HUYEN
K8,hien-trang-ntm
K9,tieu-chi-lay-y-kien
KA,ty-le-bo-phieu
KB,TY_LE_BO_PHIEU_CONG_NHAN
KC,TY_LE_BO_PHIEU_THU_HOI
KD,TY_LE_LAY_Y_KIEN
KE,hoi-dong-bo-phieu
KF,muc-tieu-xay-dung-ntm
KG,bao-cao-ty-le-dat-chuan
KH,NTM
KI,NTM_NC
KJ,NTM_KM
KK,khu-dan-cu-thong-minh
KL,bao-cao-ket-qua-thuc-hien-tieu-chi-ntm
KM,bao-cao-ntm
KN,hien-trang-theo-so-tieu-chi
KO,thuc-trang-theo-tieu-chi
KP,excel-ket-qua-tu-danh-gia
KQ,excel-ket-qua-tham-tra
KR,excel-ket-qua-tham-dinh
KS,nhat-ky
KT,thong-ke-sp-tu-cong-bo-chat-luong
KU,thong-ke-sp-chung-nhan-hop-quy
KV,kq-tham-dinh-xl
KW,thong-ke-co-so-thuong-mai
KX,co-so-che-bien
KY,san-pham-che-bien
KZ,xuc-tien-thuong-mai
L0,vung-nong-nghiep-cnc
L1,bc-ql-doanh-nghiep
L2,bao-cao-nhuyen-the-hai-manh-vo
L3,bao-cao-ket-qua-giam-sat-chat-luong-vat-tu-nong-nghiep
L4,bao-cao-ket-qua-giam-sat-attp-san-pham-nguon-goc-thuc-vat
L5,bao-cao-ket-qua-pho-bien-giao-duc-phap-luat
L6,bao-cao-ket-qua-giam-sat-attp-san-pham-nguon-goc-dong-vat
L7,bao-cao-danh-muc-van-ban
L8,bao-cao-ket-qua-giam-sat-attp-san-pham-nguon-goc-thuy-san
L9,bao-cao-ket-qua-giam-sat-attp-nong-lam-thuy-san
LA,bao-cao-danh-sach-chuoi-cung-ung-nong-san-thuc-pham-an-toan
LB,bao-cao-bang-ma-hoa-cac-loai-hinh-sxkd-nong-lam-thuy-san
LC,bao-cao-ket-qua-san-xuat
LD,bao-cao-ket-qua-nghiep-vu
LE,bao-cao-kq-thanh-kiem-tra-cssxkd-vat-tu-nong-nghiep
LF,bao-cao-so-luong-nhan-su-dia-phuong
LG,bao-cao-quy-hoach-csgm-gsgc
LH,bao-cao-thong-tin-co-so-tren-dia-ban
LI,bao-cao-so-vu-vi-pham-bom-nuoc-tiem-thuoc-gia-suc-gia-cam
LJ,dk-nuoi-trong-thuy-san
LK,co-quan
LL,de-tai-du-an-giong-ts
LM,cong-nghe-chuyen-giao
LN,MO_HINH_TRINH_DIEN
LO,khao-nghiem
LP,tu-van
LQ,DE_TAI
LR,DU_AN
LS,dmin
LT,cong-tac-thanh-kiem
LU,cong-tac-tiep-cong-dan
LV,giai-quyet-don-khieu-nai
LW,giai-quyet-don-to-cao
LX,dashboard-nguoi-dan
LY,slider
LZ,phan-anh
M0,van-ban
M1,dynamic-config
M2,bc-3
M3,bc-16
M4,bc-17
M5,bc-18
M6,bc-4
M7,bc-5
M8,bc-6
M9,bc-7
MA,bc-8
MB,bc-9
MC,bc-11
MD,bc-12
ME,bc-13
MF,bc-14
MG,bc-15
MH,nong-lam-thuy-san
MI,danh-muc-loai-san-pham
MJ,LOAI_NONG_LAM_THUY_SAN
MK,quan-ly-nuoc
ML,tiem-nang-dat
MM,phan-hang-dat
MN,overall-info
MO,tai-lieu-dinh-kem
MP,tieu-chuan-dat
MQ,bao-cao-trong-trot
MR,bao-cao-hinh-thuc-sa
MS,bao-cao-tinh-hinh-san-xuat-va-sinh-vat-gay-hai
MT,bc-cssx-thuc-an
MU,bc-cs-duoc-cap-cn
MV,bc-cs-mua-ban-thuc-an
MW,tong-hop-quy-mo-chan-nuoi
MX,bc-thanh-tra-cnty
MY,bao-cao-dich-benh-dong-vat-tren-can
MZ,bc-ds-trang-trai
N0,bc-vacxin-phong-benh
N1,bc-cs-kd-thuoc-thu-y
N2,bc-htx-tht-clb
N3,bc-benh-thuy-san
N4,benh
N5,bc-cs-an-toan-dich
N6,bc-kiem-dich-dv
N7,cs-du-dk-vsty
N8,bao-cao-danh-sach-nguoi-dung
N9,bc-du-an-giam-ngheo
NA,bc-sp-dat-OCOP
NB,bc-lien-ket-tieu-thu
NC,bc-ket-qua-dao-tao-nghe
ND,bc-lang-nghe
NE,bao-cao-bo-tri-dan-cu
NF,bao-cao-co-gioi-hoa
NG,gs-hd-ncnl
NH,dt-th-hd-tk-ct
NI,thong-ke-xttm-ttth
NJ,ket-qua-thuc-hien-ct-mtqg
NK,dm-du-an
NL,dm-loai-mo-hinh-khuyen-nong
NM,dm-mo-hinh-khuyen-nong
NN,dm-tieu-chi-danh-gia
NO,dm-ho-dan
NP,dm-chi-so-bao-cao
NQ,dm-cay-trong
NR,tieu-chi-danh-gia
NS,noi-dung
NT,chi-tieu
NU,dm-khau-cong-viec
NV,hdht-ptsx
NW,ket-qua-hd-pb-th-nl
NX,bao-cao-lien-hiep-htx-nong-nghiep
NY,bao-cao-danh-sach-trang-trai
NZ,ho-tro-trang-trao
O0,bao-cao-to-hop-tac-nong-nghiep
O1,bao-cao-ho-tro-kttt-htx
O2,bao-cao-ho-tro-trang-trai
O3,bao-cao-tinh-hinh-phat-trien-trang-trai
O4,bao-cao-htx-nong-nghiep
O5,csht-ptsx-oddc
O6,kinh-te-tap-the
O7,du-lich-nong-nghiep-nong-thon
O8,mo-hinh-thon-thong-minh
O9,vuon-ray-mau
OA,khu-dan-cu-kieu-mau
OB,thth-tieu-chi-ntm
OC,cong-ty
OD,ptnt-kttt-dashboard
OE,ptnt-ocop-dashboard
OF,bc-hoat-dong-nghe-ca
OG,bc-tong-hop-thu-phi
OH,bc-tau-cap-cang
OI,bao-cao-doanh-thu
OJ,bc-kiem-tra-dkvsty
OK,bc-san-luong-vat-nuoi
OL,goi-y-dich-benh
OM,bc-mua-lu-man
ON,bc-tram-khong-dat-qcvn
OO,bc-cong-trinh-kenh
OP,bc-cong-trinh-cap-nuoc
OQ,bc-qly-vi-pham
OR,bc-hieu-qua-tcn
OS,bc-cong-trinh-tram-bom
OT,sync-role
OU,superadmin
OV,bc-trang-trai
OW,ng-gs-ktr
OX,bao-cao-ts
OY,bc-cs-nuoi-trong
OZ,bc-cs-sx-uong-duong
P0,bc-tau-ca-cap-phep
P1,bc-cs-dat-attp
P2,bc-cs-sx-thuc-an-ntts
P3,bc-dang-ky-nuoi
P4,long-be
P5,ts-chu-luc
P6,bc-quan-trac
P7,tieu-doc-khu-trung
P8,tong-hop-quy-mo
P9,bc-ke-khai-vat-nuoi
PA,bc-ty-le-cap-nuoc
PB,bc-cong-trinh-tuyen-de
PC,bc-ql-thien-tai
PD,bc-cong-trinh-cong
PE,quan-ly-khu-tuoi
PF,cau-hinh-dien-tich-ke-hoach
PG,thi-truong-nhap-khau
PH,thi-truong-xuat-khau
PI,bao-quan
PJ,huong-dan-ky-thuat-chan-nuoi
PK,danh-muc-khac
PL,nhu-cau-toi
PM,nhu-cau-tuoi
PN,linh-vuc
PO,synsystem
PP,unit
PQ,layer-map-file
PR,log-nd13
PS,ho-dan
PT,dic
PU,lich-su-nguoi-dung
PV,api-endpoind-description
PW,thongke-congtac-xaydung-ntm
PX,bc-dang-ky-tau
PY,bc-dang-kiem-tau
